scenario_id,tank_volume_m3,operating_delta_temperature_k,capacity_mwh_th,value_kind,source_ids,limitation
tank_900m3_delta_40K,900.0,40.0,37.96363636363636,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_900m3_delta_55K,900.0,55.0,52.2,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_900m3_delta_60K,900.0,60.0,56.945454545454545,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_5000m3_delta_40K,5000.0,40.0,210.9090909090909,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_5000m3_delta_55K,5000.0,55.0,290.0,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_5000m3_delta_60K,5000.0,60.0,316.3636363636364,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_12000m3_delta_40K,12000.0,40.0,506.1818181818182,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_12000m3_delta_55K,12000.0,55.0,696.0,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
tank_12000m3_delta_60K,12000.0,60.0,759.2727272727273,generic_sensitivity,dea_ttes_capacity_basis,Linear sensible-heat scaling at the source catalogue's medium and availability; not a Frontier storage design.
