artifact,field_or_claim,canonical_source,generating_code,config_sha256,code_revision,command,environment,input_hashes,output_sha256,verified_utc
results/canonical/finite_q_sensitivity.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/run_extended_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make extended-analysis,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,56dcd9ae68e16c8939195e3a1d89274467192685b9aec8a84f86a240bde46c88,2026-09-25T05:21:38+00:00
results/canonical/matched_event_allocations.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/run_extended_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make extended-analysis,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,2026-09-25T05:21:38+00:00
results/canonical/natural_redistribution_summary.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/run_physical_diagnostics.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make physical-diagnostics,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,9d32dd46ce6d41c9c417cfb990ab08a35b443306aaa5b82cae1933a2128b47b1,2026-09-25T05:21:38+00:00
results/canonical/one_unit_allocations.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/run_global_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make analyze,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,b6277c4652dd4601e1a8ddd959f38621eef393d3216010f9a1ff87ce18f806cd,2026-09-25T05:21:38+00:00
results/canonical/safety_ablation.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/run_extended_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make extended-analysis,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,7f822eaa7c10e0fe9bbe8ce09a3bca12bc4de4aad82fae5d6d8c6e9db5f9744a,2026-09-25T05:21:38+00:00
results/canonical/seasonal_day_night_summary.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/run_extended_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make extended-analysis,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,7418ebe2c0b6020d94bc5bba9bfd76af79c123211bdbf75761a24e24b148208d,2026-09-25T05:21:38+00:00
results/canonical/source_hotspot_robustness.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/run_robustness_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make robustness,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,e1c561bee217c38f9db1984230e3565d62d2c3100be950379ed4435c9dca0d16,2026-09-25T05:21:38+00:00
results/diagnostics/extended_analysis_validation.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/validate_extended_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make validate-analysis,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,c8a8e44d082ddbbbe24f6f1b86d8c57eb18f7f375238064b9dee4c19b69272a9,2026-09-25T05:21:38+00:00
results/diagnostics/finite_dispatch_validation.csv,entire generated artifact,be24cadcd671abe7f1f1681db8b767f1f69fe7e98ab04f8416a62d58f0cb39a0,scripts/validate_finite_dispatch.py,dd8c346ba42e23350154c3aed26bfe1b5b258cf2eacee604caef9faafac40c9a,35ca1236f57a2b672f3b7f725be801fb59e043fe,make finite-dispatch,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,results/dispatch/finite_dispatch_summary.csv=8ae7bd21686b5cbfa9dea1f04c5bdf19624999a721e99b3e89e23fdabd208ebf;results/dispatch/finite_dispatch_timeseries.csv.gz=726f29bd6c81eec06eece31fe3111534628ca2abb61ee46173b05329cc037406,25d522b9a983f7e279fca200c259bd2377cf09e3338f9101939e794736c4a14b,2026-09-25T05:21:38+00:00
results/diagnostics/global_analysis_validation.csv,entire generated artifact,01f9f9939b09b92e2a0ea3eeb1cfae6e9c2212ea70a61eb83d66d836a669c9d5,scripts/validate_global_analysis.py,8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1,35ca1236f57a2b672f3b7f725be801fb59e043fe,make validate-analysis,python=3.10.12;platform=Linux-6.8.0-1061-aws-x86_64-with-glibc2.35;pip_freeze_sha256=b801e3f3cbd3d0d08d669bf129285247ca793ef0155741b942a8dc34bf46c824,config/model.yml=8607e5c5213f42cd35a117af220f6fc2df8914ff502e39aa38f847b0589e36f1;data/metadata/data_snapshots.csv=5e1dcf544e0d5375964b25fa2ab20d79fe85bd0e9ea09260693d975f50a46579;data/processed/analysis_cube_2023.nc=c0593448a6f9009eccf523caa96c451b07dc4c38bd65abdb3ce2db63d7a7c6fc,2feaa356dc49914f35414c79440b2e9705892424bab5f95cbe64bc3ce160f899,2026-09-25T05:21:38+00:00
