season,local_period,eligible_cell_times,marginal_burden_median,marginal_burden_p95,marginal_burden_p99,marginal_burden_max,total_human_burden
DJF,day,200391,1.1770309209823608,24.08317279815674,71.91077346801775,512.7740478515625,45012929469900.66
DJF,night,138962,0.5621433556079865,16.494416809082026,58.05142879486064,299.16064453125,23335203692760.09
JJA,day,354292,1.6228310465812683,63.532989501953146,178.2099346923839,777.7644653320312,180342145764595.0
JJA,night,234431,1.4686814546585083,63.65150260925293,178.77545623779562,649.0701293945312,112396125708568.86
MAM,day,242152,1.4768765568733215,45.881321334838816,135.9010028076163,706.9494018554688,94353731495192.23
MAM,night,159273,1.064084529876709,42.09220886230469,129.96302246093745,526.7545166015625,54876221201881.46
SON,day,258413,1.6971685886383057,44.32508392333983,129.11432434082042,709.771484375,97142528563613.6
SON,night,179217,1.2357515096664429,42.30381851196289,121.31772430419912,540.45556640625,61614348122504.13
