scenario_id,climate_product,climate_year,population_product,population_year,spatial_coarsening_factor,grid_latitude_count,grid_longitude_count,time_step_hours,time_step_count,thermal_metric,metric_threshold,population_total,source_time,temporal_sink_time,source_country,spatial_zero_penalty_sink_country,spatial_high_penalty_sink_country,high_transport_penalty_burden_per_gj_km,practical_external_ambient_relocation_admissible,practical_constraint_interpretation,positive_marginal_observation_count,marginal_p50_burden_per_gj,marginal_p95_burden_per_gj,marginal_p99_burden_per_gj,marginal_max_burden_per_gj,marginal_p99_to_p50_ratio,source_time_index,source_latitude_index,source_longitude_index,source_latitude,source_longitude,source_population,source_marginal_benefit_per_gj,unrestricted_minimum_sink_burden_per_gj,unrestricted_minimum_sink_count,unrestricted_pathological_minimum_sink_count,unrestricted_pathological_minimum_sink_fraction,spatial_zero_penalty_sink_latitude,spatial_zero_penalty_sink_longitude,spatial_zero_penalty_distance_km,spatial_zero_penalty_net_benefit_per_gj,spatial_near_optimal_sink_count,spatial_high_penalty_sink_latitude,spatial_high_penalty_sink_longitude,spatial_high_penalty_distance_km,spatial_high_penalty_net_benefit_per_gj,spatial_value_collapses_at_high_penalty,temporal_sink_time_index,temporal_net_benefit_per_gj,temporal_to_spatial_value_ratio,theoretical_spatial_value_positive,sink_nonunique_within_tolerance,unrestricted_pathological_sinks_present,source_shift_km_from_canonical,zero_penalty_sink_shift_km_from_canonical
ncep1_2010_worldpop_native_humidex,NCEP/NCAR Reanalysis 1,2010,WorldPop unconstrained,2020,1,94,192,6,1460,humidex,26.0,7969633181.734437,2010-05-15T00:00:00,2010-05-15T18:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,1747720,1.264853678253469,47.701349516604175,145.813239688246,786.9735750981636,115.28071760014751,536,34,48,23.809200286865234,90.0,70240470.9212153,786.9735750981636,0.0,16257,13952,0.8582149228024851,67.61710357666016,75.0,4979.522829400322,786.9735750981636,853,23.809200286865234,91.875,190.74575089481868,-392.4732566188993,True,539,398.0858850834774,0.505844030447683,True,True,True,0.0,0.0
ncep1_2015_worldpop_native_humidex,NCEP/NCAR Reanalysis 1,2015,WorldPop unconstrained,2020,1,94,192,6,1460,humidex,26.0,7969633181.734437,2015-06-04T00:00:00,2015-06-04T18:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,1716904,1.2533357009935704,45.03637211696709,138.75197534252402,763.1850087069193,110.7061541712485,616,34,48,23.809200286865234,90.0,70240470.9212153,763.1850087069193,0.0,15837,13570,0.8568542021847572,67.61710357666016,75.0,4979.522829400322,763.1850087069193,901,23.809200286865234,91.875,190.74575089481868,-389.479120876543,True,619,424.1693305395696,0.5557883418835083,True,True,True,0.0,0.0
ncep1_2020_worldpop_native_humidex,NCEP/NCAR Reanalysis 1,2020,WorldPop unconstrained,2020,1,94,192,6,1464,humidex,26.0,7969633181.734437,2020-08-04T00:00:00,2020-08-04T18:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,1726886,1.3054593858269317,47.366241649821816,144.83806980143027,765.8885993115049,110.94797078630208,864,34,48,23.809200286865234,90.0,70240470.9212153,765.8885993115049,0.0,15557,13329,0.8567847271324806,67.61710357666016,75.0,4979.522829400322,765.8885993115049,832,23.809200286865234,91.875,190.74575089481868,-403.34557792108035,True,867,309.44674098742587,0.40403622833086017,True,True,True,0.0,0.0
ncep1_2023_worldpop_native_humidex,NCEP/NCAR Reanalysis 1,2023,WorldPop unconstrained,2020,1,94,192,6,1460,humidex,26.0,7969633181.734437,2023-06-05T00:00:00,2023-06-05T18:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,1767131,1.3035289424507315,45.6135981164165,137.81083159558798,777.7644861593309,105.72134389014283,620,34,48,23.809200286865234,90.0,70240470.9212153,777.7644861593309,0.0,15820,13771,0.870480404551201,67.61710357666016,75.0,4979.522829400322,777.7644861593309,808,23.809200286865234,91.875,190.74575089481868,-396.6078856298187,True,623,419.3294000386014,0.5391470136535633,True,True,True,0.0,0.0
ncep1_2023_ghsl_native_humidex,NCEP/NCAR Reanalysis 1,2023,GHS-POP R2023A,2020,1,94,192,6,1460,humidex,26.0,7840952947.013646,2023-06-05T00:00:00,2023-06-05T18:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,1765241,1.1980872738128112,44.78611128650751,137.55598288656626,787.2948679138943,114.81299058357075,620,34,48,23.809200286865234,90.0,71101166.5616207,787.2948679138943,0.0,15889,13841,0.8711057964629618,67.61710357666016,75.0,4979.522829400322,787.2948679138943,808,23.809200286865234,91.875,190.74575089481868,-389.7193312429737,True,623,424.4676769005528,0.5391470136535634,True,True,True,0.0,0.0
ncep1_2023_worldpop_coarse_humidex,NCEP/NCAR Reanalysis 1,2023,WorldPop unconstrained,2020,2,47,96,6,1460,humidex,26.0,7969633181.734435,2023-06-16T00:00:00,2023-06-16T18:00:00,India,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,459633,1.8951467251171237,41.31353826063481,112.6838697984969,325.0055016120994,59.45917975904099,664,17,23,22.85012630456805,87.1875,129812985.86169292,325.0055016120994,0.0,3808,3316,0.8707983193277311,64.72662225964348,72.1875,4783.01528190507,325.0055016120994,158,22.85012630456805,83.4375,384.24806632995956,-1687.4547381362127,True,667,139.06357658809216,0.42788068478319896,True,True,True,306.3208746256552,345.26402045220254
ncep1_2023_worldpop_native_air_temperature,NCEP/NCAR Reanalysis 1,2023,WorldPop unconstrained,2020,1,94,192,6,1460,air_temperature,26.0,7969633181.734437,2023-04-15T00:00:00,2023-04-15T18:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,932550,0.41807629137446756,22.464097454162214,74.72973733755381,504.1872266000862,178.7466519373111,416,34,48,23.809200286865234,90.0,70240470.9212153,504.1872266000862,0.0,17064,14888,0.8724800750117205,58.09389877319336,50.625,4918.679946897871,504.1872266000862,588,25.713899612426758,90.0,211.79319432656976,-599.1241457405458,True,419,504.1872266000862,1.0,True,True,True,0.0,1608.9812081647342
ncep1_2023_worldpop_native_wet_bulb,NCEP/NCAR Reanalysis 1,2023,WorldPop unconstrained,2020,1,94,192,6,1460,wet_bulb_proxy,24.0,7969633181.734437,2023-06-05T00:00:00,2023-06-05T12:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,287245,0.08427349694824038,3.06647513531391,10.887263606514606,50.00621992830554,129.18965037372797,620,34,48,23.809200286865234,90.0,70240470.9212153,50.00621992830554,0.0,12808,10214,0.7974703310430981,67.61710357666016,75.0,4979.522829400322,50.00621992830554,865,23.809200286865234,91.875,190.74575089481868,-914.7374157612328,True,622,30.083744484647713,0.6016000515091743,True,True,True,0.0,0.0
ncep2_2023_worldpop_native_humidex,NCEP-DOE Reanalysis 2,2023,WorldPop unconstrained,2020,1,94,192,6,1460,humidex,26.0,7969633181.734437,2023-09-03T00:00:00,2023-09-03T18:00:00,Bangladesh,Russia,India,5.0,False,Phase E excludes new external ambient relocation without site-specific receiving-capacity evidence.,1786509,1.3421531289185638,43.53359198495701,125.63236947937433,649.3872306650668,93.6050937649732,980,34,48,23.809200286865234,90.0,70240470.9212153,649.3872306650668,0.0,15629,13392,0.8568686416277433,67.61710357666016,75.0,4979.522829400322,649.3872306650668,862,23.809200286865234,91.875,190.74575089481868,-517.7047288776322,True,983,256.1127051615764,0.39439134782382435,True,True,True,0.0,0.0
