analysis,source_time,sink_time,lag_steps,source_country,sink_country,distance_km,source_marginal_benefit,sink_marginal_burden,net_benefit,fraction_of_matched_spatial,cooptimal_candidate_count,near_optimal_candidate_count
spatial,2023-06-05T00:00:00,2023-06-05T00:00:00,0,Bangladesh,Russia,4665.747235010652,777.7644653320312,0.0,777.7644653320312,1.0,422.0,808.0
temporal,2023-06-05T00:00:00,2023-06-05T18:00:00,3,Bangladesh,Bangladesh,0.0,777.7644653320312,358.4350891113281,419.3293762207031,0.5391469974675296,1.0,1.0
joint,2023-06-05T00:00:00,2023-06-05T00:00:00,0,Bangladesh,Russia,4665.747235010652,777.7644653320312,0.0,777.7644653320312,1.0,,
