scenario_id,pathway_id,mode_label,demand_basis,storage_basis,eligibility,evidence_gap_count,evidence_gap_ids,useful_heat_delivered_mwh,demand_served_fraction,residual_source_rejection_mwh,heat_pump_electricity_mwh,storage_capacity_mwh,storage_loss_mwh,pareto_efficient_within_demand_basis,least_assumption_mode_within_demand_basis,mode_decision,selected_practical_mode
direct_lower_demand_bound,C,Local direct reuse,reported_lower_bound,none,CONDITIONAL,5,ornl_receiving_hourly_demand_profile;source_capture_efficiency;balance_of_plant_auxiliary_electricity;hydraulic_network_design_inputs;cost_and_price_year,8278.791469410677,0.9450675193391186,69982.71838965492,2687.9193082502197,0.0,0.0,True,True,CONDITIONAL_LEAST_ASSUMPTION,False
minimum_formula_storage_lower_demand,B,Formula-sized temporal storage and reuse,reported_lower_bound,minimum_formula,CONDITIONAL,6,ornl_receiving_hourly_demand_profile;source_capture_efficiency;balance_of_plant_auxiliary_electricity;hydraulic_network_design_inputs;cost_and_price_year;case_storage_design,8747.758430181631,0.9986025605230175,69604.83029886473,2869.596274976275,52.2,38.39809674529766,True,False,CONDITIONAL_SENSITIVITY,False
generic_storage_lower_demand,B,Generic-reference temporal storage and reuse,reported_lower_bound,generic_reference,CONDITIONAL,6,ornl_receiving_hourly_demand_profile;source_capture_efficiency;balance_of_plant_auxiliary_electricity;hydraulic_network_design_inputs;cost_and_price_year;case_storage_design,8759.999999999998,1.0,69346.21319022424,2993.9314233611253,290.0,171.30878395220918,True,False,CONDITIONAL_SENSITIVITY,False
direct_upper_demand_bound,C,Local direct reuse,reported_upper_bound,none,CONDITIONAL,5,ornl_receiving_hourly_demand_profile;source_capture_efficiency;balance_of_plant_auxiliary_electricity;hydraulic_network_design_inputs;cost_and_price_year,16541.00540154504,0.9441213128735756,64403.04144847328,5370.456299202935,0.0,0.0,True,True,CONDITIONAL_LEAST_ASSUMPTION,False
minimum_formula_storage_upper_demand,B,Formula-sized temporal storage and reuse,reported_upper_bound,minimum_formula,CONDITIONAL,6,ornl_receiving_hourly_demand_profile;source_capture_efficiency;balance_of_plant_auxiliary_electricity;hydraulic_network_design_inputs;cost_and_price_year;case_storage_design,17188.476207092073,0.981077409080598,63903.38869543152,5610.673968934549,52.2,40.19961722633826,True,False,CONDITIONAL_SENSITIVITY,False
generic_storage_upper_demand,B,Generic-reference temporal storage and reuse,reported_upper_bound,generic_reference,CONDITIONAL,6,ornl_receiving_hourly_demand_profile;source_capture_efficiency;balance_of_plant_auxiliary_electricity;hydraulic_network_design_inputs;cost_and_price_year;case_storage_design,17420.071762365405,0.9942963334683452,63501.34458460799,5803.964406830479,290.0,166.13861067241925,True,False,CONDITIONAL_SENSITIVITY,False
