scenario_id,pathway_id,evidence_tier,decision_status,storage_hours,transport_loss_fraction,grid_factor_basis,useful_heat_delivered_mwh,heat_pump_output_mwh,source_heat_withdrawn_mwh,source_heat_recovered_mwh,heat_pump_electricity_mwh,storage_auxiliary_electricity_mwh,transport_pumping_electricity_mwh,total_electricity_mwh,source_side_loss_mwh,storage_loss_mwh,transport_loss_mwh,residual_rejected_heat_captured_stream_mwh,thermal_balance_error_mwh,baseline_natural_gas_input_mwh_hhv,avoided_natural_gas_mwh_hhv,baseline_operational_co2e_kg,pathway_operational_co2e_kg,avoided_operational_co2e_kg,gas_co2e_factor_kg_per_mmbtu,notes
D_transport_loss_17pct,D,generic_network_sensitivity,sensitivity_only,0.0,0.17,SRTV_total_output,1,1.2048192771084338,0.8161678973960358,0.8161678973960358,0.388651379712398,0.0,0.024096385542168676,0.4127477652545667,0.0,0.0,0.20481927710843384,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,169.1162601463209,71.1199497767683,53.1145,Generic network loss; not a Frontier transport function.
D_transport_loss_35pct,D,generic_network_sensitivity,sensitivity_only,0.0,0.35,SRTV_total_output,1,1.5384615384615383,1.042183622828784,1.042183622828784,0.4962779156327543,0.0,0.030769230769230767,0.527047146401985,0.0,0.0,0.5384615384615383,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,215.94845526376358,24.28775465932563,53.1145,Generic network loss; not a Frontier transport function.
E_storage_6h_transport_03pct,E,generic_combined_sensitivity,sensitivity_only,6.0,0.03,SRTV_total_output,1,1.0523618143043911,0.7128902613029746,0.7128902613029746,0.33947155300141646,0.0041237113402061865,0.02061855670103093,0.36421382104265354,0.0,0.021433979252844626,0.030927835051546504,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,149.23031568770796,91.00589423538125,53.1145,Generic storage and network combination only.
E_storage_6h_transport_09pct,E,generic_combined_sensitivity,sensitivity_only,6.0,0.09,SRTV_total_output,1,1.12174830755523,0.7598940147954784,0.7598940147954784,0.36185429275975156,0.004395604395604396,0.021978021978021976,0.3882279191333779,0.0,0.022847208654131146,0.09890109890109877,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,159.06967716162276,81.16653276146644,53.1145,Generic storage and network combination only.
E_storage_6h_transport_17pct,E,generic_combined_sensitivity,sensitivity_only,6.0,0.17,SRTV_total_output,1,1.2298686263557341,0.8331368114022715,0.8331368114022715,0.3967318149534626,0.004819277108433735,0.024096385542168676,0.425647477604065,0.0,0.02504934924730029,0.20481927710843384,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,174.40169423744186,65.83451568564735,53.1145,Generic storage and network combination only.
E_storage_6h_transport_35pct,E,generic_combined_sensitivity,sensitivity_only,6.0,0.35,SRTV_total_output,1,1.5704476305773218,1.0638516207136697,1.0638516207136697,0.5065960098636522,0.006153846153846154,0.030769230769230767,0.5435190867867291,0.0,0.031986092115783515,0.5384615384615383,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,222.69754802627187,17.53866189681733,53.1145,Generic storage and network combination only.
E_storage_12h_transport_03pct,E,generic_combined_sensitivity,sensitivity_only,12.0,0.03,SRTV_total_output,1,1.0527567461836649,0.7131577958018376,0.7131577958018376,0.33959895038182736,0.0041237113402061865,0.02061855670103093,0.36434121842306444,0.0,0.021828911132118378,0.030927835051546504,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,149.28251456155104,90.95369536153817,53.1145,Generic storage and network combination only.
E_storage_12h_transport_09pct,E,generic_combined_sensitivity,sensitivity_only,12.0,0.09,SRTV_total_output,1,1.1221692788990711,0.7601791889316288,0.7601791889316288,0.3619900899674423,0.004395604395604396,0.021978021978021976,0.38836371634106864,0.0,0.02326817999797237,0.09890109890109877,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,159.12531771945547,81.11089220363374,53.1145,Generic storage and network combination only.
E_storage_12h_transport_17pct,E,generic_combined_sensitivity,sensitivity_only,12.0,0.17,SRTV_total_output,1,1.230330173250789,0.8334494722021474,0.8334494722021474,0.3968807010486416,0.004819277108433735,0.024096385542168676,0.425796363699244,0.0,0.025510896142355133,0.20481927710843384,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,174.46269774060784,65.77351218248137,53.1145,Generic storage and network combination only.
E_storage_12h_transport_35pct,E,generic_combined_sensitivity,sensitivity_only,12.0,0.35,SRTV_total_output,1,1.5710369904586996,1.0642508645042805,1.0642508645042805,0.5067861259544192,0.006153846153846154,0.030769230769230767,0.5437092028774961,0.0,0.032575451997161275,0.5384615384615383,0.0,2.220446049250313e-16,1.325556733828208,1.325556733828208,240.2362099230892,222.77544480723768,17.46076511585153,53.1145,Generic storage and network combination only.
E_storage_18h_transport_03pct,E,generic_combined_sensitivity,sensitivity_only,18.0,0.03,SRTV_total_output,1,1.053151974595447,0.7134255311775608,0.7134255311775608,0.3397264434178861,0.0041237113402061865,0.02061855670103093,0.3644687114591232,0.0,0.022224139543900456,0.030927835051546504,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,149.33475262864187,90.90145729444734,53.1145,Generic storage and network combination only.
E_storage_18h_transport_09pct,E,generic_combined_sensitivity,sensitivity_only,18.0,0.09,SRTV_total_output,1,1.1225905663270146,0.760464577189268,0.760464577189268,0.36212598913774663,0.004395604395604396,0.021978021978021976,0.38849961551137296,0.0,0.023689467425915822,0.09890109890109877,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,159.18100005470612,81.05520986838309,53.1145,Generic storage and network combination only.
E_storage_18h_transport_17pct,E,generic_combined_sensitivity,sensitivity_only,18.0,0.17,SRTV_total_output,1,1.2307920666958838,0.8337623677617277,0.8337623677617277,0.3970296989341561,0.004819277108433735,0.024096385542168676,0.4259453615847585,0.0,0.025972789587449974,0.20481927710843384,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,174.52374704793087,65.71246287515834,53.1145,Generic storage and network combination only.
E_storage_18h_transport_35pct,E,generic_combined_sensitivity,sensitivity_only,18.0,0.35,SRTV_total_output,1,1.5716267928578205,1.064650408064975,1.064650408064975,0.5069763847928453,0.006153846153846154,0.030769230769230767,0.5438994617159223,0.0,0.03316525439628215,0.5384615384615383,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,222.85340007658863,17.382809846500578,53.1145,Generic storage and network combination only.
