scenario_id,pathway_id,evidence_tier,decision_status,storage_hours,transport_loss_fraction,grid_factor_basis,useful_heat_delivered_mwh,heat_pump_output_mwh,source_heat_withdrawn_mwh,source_heat_recovered_mwh,heat_pump_electricity_mwh,storage_auxiliary_electricity_mwh,transport_pumping_electricity_mwh,total_electricity_mwh,source_side_loss_mwh,storage_loss_mwh,transport_loss_mwh,residual_rejected_heat_captured_stream_mwh,thermal_balance_error_mwh,baseline_natural_gas_input_mwh_hhv,avoided_natural_gas_mwh_hhv,baseline_operational_co2e_kg,pathway_operational_co2e_kg,avoided_operational_co2e_kg,gas_co2e_factor_kg_per_mmbtu,notes
A_conventional_steam_baseline,A,generic_case_comparator,operating_baseline,0.0,0.08,not_applicable,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913038,,0.0,1.325556733828208,0.0,240.2362099230892,240.2362099230892,0.0,53.1145,Fuel-only baseline; existing boiler and steam-network capital are outside the incremental boundary.
C_case_cop_SRTV_total_output,C,case_calibrated_energy_only,case_capture_auxiliary_and_cost_gates_open,0.0,0.0,SRTV_total_output,1,1.0,0.6753246753246753,0.6753246753246753,0.3246753246753247,0.0,0.0,0.3246753246753247,0.0,0.0,0.0,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,133.03010044650003,107.20610947658918,53.1145,COP electricity is counted once. Unity source capture is a scenario; case capture loss and balance-of-plant auxiliary electricity remain missing.
C_case_cop_SRTV_total_output_plus_grid_loss,C,case_calibrated_energy_only,case_capture_auxiliary_and_cost_gates_open,0.0,0.0,SRTV_total_output_plus_grid_loss,1,1.0,0.6753246753246753,0.6753246753246753,0.3246753246753247,0.0,0.0,0.3246753246753247,0.0,0.0,0.0,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,138.86231779384136,101.37389212924785,53.1145,COP electricity is counted once. Unity source capture is a scenario; case capture loss and balance-of-plant auxiliary electricity remain missing.
C_case_cop_SRTV_nonbaseload_sensitivity,C,case_calibrated_energy_only,case_capture_auxiliary_and_cost_gates_open,0.0,0.0,SRTV_nonbaseload_sensitivity,1,1.0,0.6753246753246753,0.6753246753246753,0.3246753246753247,0.0,0.0,0.3246753246753247,0.0,0.0,0.0,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,246.82611716200003,-6.5899072389108255,53.1145,COP electricity is counted once. Unity source capture is a scenario; case capture loss and balance-of-plant auxiliary electricity remain missing.
C_generic_full_system,C,generic_technology_comparator,sensitivity_only_not_case_result,0.0,0.0,SRTV_total_output,1,1.0,0.6774193548387097,0.6774193548387097,0.3225806451612903,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,132.17184173394196,108.06436818914725,53.1145,DEA auxiliary electricity is embedded in the generic COP and is not added again.
B_storage_6h,B,generic_technology_comparator,sensitivity_only,6.0,0.0,SRTV_total_output,1,1.0207909598752594,0.6915035534638854,0.6915035534638854,0.329287406411374,0.004,0.0,0.333287406411374,0.0,0.020790959875259363,0.0,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,136.55875202957236,103.67745789351684,53.1145,Generic TTES values; no case-specific return temperature.
B_storage_12h,B,generic_technology_comparator,sensitivity_only,12.0,0.0,SRTV_total_output,1,1.021174043798155,0.6917630619277824,0.6917630619277824,0.32941098187037254,0.004,0.0,0.33341098187037255,0.0,0.021174043798154907,0.0,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,136.6093849372001,103.6268249858891,53.1145,Generic TTES values; no case-specific return temperature.
B_storage_18h,B,generic_technology_comparator,sensitivity_only,18.0,0.0,SRTV_total_output,1,1.0215574153575835,0.6920227652422339,0.6920227652422339,0.3295346501153495,0.004,0.0,0.3335346501153495,0.0,0.021557415357583487,0.0,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,136.6600558622782,103.576154060811,53.1145,Generic TTES values; no case-specific return temperature.
D_transport_loss_03pct,D,generic_network_sensitivity,sensitivity_only,0.0,0.03,SRTV_total_output,1,1.0309278350515465,0.6983704689058863,0.6983704689058863,0.33255736614566017,0.0,0.02061855670103093,0.3531759228466911,0.0,0.0,0.030927835051546504,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,144.70772775406843,95.52848216902078,53.1145,Generic network loss; not a Frontier transport function.
D_transport_loss_09pct,D,generic_network_sensitivity,sensitivity_only,0.0,0.09,SRTV_total_output,1,1.0989010989010988,0.7444168734491314,0.7444168734491314,0.35448422545196734,0.0,0.021978021978021976,0.3764622474299893,0.0,0.0,0.09890109890109877,0.0,0.0,1.325556733828208,1.325556733828208,240.2362099230892,154.24889661697398,85.98731330611523,53.1145,Generic network loss; not a Frontier transport function.
