scenario_id,boiler_efficiency,grid_factor_basis,grid_co2e_kg_per_mwh,electricity_price_multiplier,natural_gas_price_multiplier,load_factor,heat_pump_lifetime_years,real_discount_rate,baseline_operational_co2e_kg_per_mwh,pathway_operational_co2e_kg_per_mwh,avoided_operational_co2e_kg_per_mwh,lcoh_usd2025_per_mwh_th,baseline_fuel_only_lcoh_usd2025_per_mwh_th,incremental_npc_usd2025,annual_operating_savings_usd2025
C_be0.70_average_ep0.75_gp0.75_lf0.25_life15_dr0.01,0.7,average,409.73270937522005,0.75,0.75,0.25,15,0.01,281.41956019561877,132.17184173394196,149.2477184616768,85.00452925992978,40.47355715471877,2147760.445459093,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life15_dr0.03,0.7,average,409.73270937522005,0.75,0.75,0.25,15,0.03,281.41956019561877,132.17184173394196,149.2477184616768,90.70451035131477,40.47355715471877,1915547.0246423408,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life15_dr0.05,0.7,average,409.73270937522005,0.75,0.75,0.25,15,0.05,281.41956019561877,132.17184173394196,149.2477184616768,97.0009084011254,40.47355715471877,1744758.4473015103,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life15_dr0.07,0.7,average,409.73270937522005,0.75,0.75,0.25,15,0.07,281.41956019561877,132.17184173394196,149.2477184616768,103.90239363542885,40.47355715471877,1618789.3558029016,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life25_dr0.01,0.7,average,409.73270937522005,0.75,0.75,0.25,25,0.01,281.41956019561877,132.17184173394196,149.2477184616768,62.18833773189895,40.47355715471877,1047319.3061068018,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life25_dr0.03,0.7,average,409.73270937522005,0.75,0.75,0.25,25,0.03,281.41956019561877,132.17184173394196,149.2477184616768,69.20108450379917,40.47355715471877,1095518.3216111371,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life25_dr0.05,0.7,average,409.73270937522005,0.75,0.75,0.25,25,0.05,281.41956019561877,132.17184173394196,149.2477184616768,77.0909081864514,40.47355715471877,1130221.5851566452,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life25_dr0.07,0.7,average,409.73270937522005,0.75,0.75,0.25,25,0.07,281.41956019561877,132.17184173394196,149.2477184616768,85.75863899846435,40.47355715471877,1155736.294920255,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life40_dr0.01,0.7,average,409.73270937522005,0.75,0.75,0.25,40,0.01,281.41956019561877,132.17184173394196,149.2477184616768,62.18833773189895,40.47355715471877,1047319.3061068018,10455.2997319407
C_be0.70_average_ep0.75_gp0.75_lf0.25_life40_dr0.03,0.7,average,409.73270937522005,0.75,0.75,0.25,40,0.03,281.41956019561877,132.17184173394196,149.2477184616768,69.20108450379917,40.47355715471877,1095518.3216111371,10455.2997319407
