scenario_id,pathway_id,decision_status,load_factor,capacity_mw_th,annual_useful_heat_mwh,study_period_years,component_lifetime_years,real_discount_rate,initial_capex_usd2025,replacement_present_value_usd2025,annual_electricity_cost_usd2025,annual_fixed_om_usd2025,annual_variable_om_usd2025,annual_total_opex_usd2025,npc_usd2025,lcoh_usd2025_per_mwh_th,baseline_fuel_only_lcoh_usd2025_per_mwh_th,baseline_fuel_only_npc_usd2025,incremental_npc_usd2025,annual_operating_savings_usd2025,simple_payback_years,cost_boundary
A_conventional_steam_baseline,A,fuel_only_operating_baseline,0.75,1.0,6570.0,25,,0.03,,,0,,,302663.2347228482,5270319.606948904,46.06746342813519,46.06746342813519,5270319.606948904,0,0,,Natural-gas fuel only; existing boiler and steam-network capital and O&M excluded.
C_generic_full_system,C,generic_comparator,0.75,1.0,6570.0,25,25,0.03,1277578.0,0.0,272703.7162678073,2404.4983899416,22804.08894,297912.30359774886,6465168.94159646,56.511550719052615,46.06746342813519,5270319.606948904,1194849.3346475558,4750.931125099363,268.9110758205909,"Generic heat-pump and storage components; transport, integration, tax, financing, decommissioning, and salvage excluded."
B_storage_12h,B,generic_comparator_partial_integration,0.75,1.0,6570.0,25,25,0.03,1329039.7931035045,0,281859.48278170225,2544.848734769093,27894.705742581915,312299.03725905326,6767149.052739339,59.15113593657084,46.06746342813519,5270319.606948904,1496829.4457904352,-9635.80253620504,,"Generic heat-pump and storage components; transport, integration, tax, financing, decommissioning, and salvage excluded."
D_transport_loss_09pct,D,partial_operating_cost_transport_capex_missing,0.75,1.0,6570.0,25,25,0.03,,,318254.2271169354,2404.4983899416,25059.438395604393,345718.16390248144,,,46.06746342813519,5270319.606948904,,-43054.92917963321,,"Generic heat-pump and storage components; transport, integration, tax, financing, decommissioning, and salvage excluded."
E_storage_12h_transport_09pct,E,partial_operating_cost_transport_capex_missing,0.75,1.0,6570.0,25,25,0.03,,,328315.5090003365,2544.848734769093,30197.810066339425,361058.167801445,,,46.06746342813519,5270319.606948904,,-58394.933078596776,,"Generic heat-pump and storage components; transport, integration, tax, financing, decommissioning, and salvage excluded."
C_case_calibrated_incomplete_cost,C,case_installed_cost_and_auxiliary_gates_open,,3.0,,,,0.03,,,,,,,,,,,,,,"Case-specific LCOH and NPC intentionally withheld because full installed cost, auxiliary energy, demand, and price year are missing."
