scenario_id,pathway_id,demand_basis,storage_basis,demand_input_status,source_input_status,practical_case_dispatch_claim_permitted,source_capture_efficiency_assumption,heat_pump_cop,heat_pump_capacity_mw,timestep_hours,demand_power_mw,storage_capacity_mwh,storage_charge_power_mw,storage_discharge_power_mw,storage_roundtrip_efficiency,storage_standing_loss_fraction_per_day,timestamped_source_intervals,missing_timestamp_intervals,observed_source_intervals,unavailable_source_intervals,interval_count,source_heat_available_mwh,source_heat_used_mwh,residual_source_rejection_mwh,heat_pump_output_mwh,heat_pump_electricity_mwh,demand_mwh,direct_heat_delivered_mwh,storage_heat_delivered_mwh,useful_heat_delivered_mwh,unmet_demand_mwh,demand_served_fraction,storage_charge_input_mwh,storage_charge_loss_mwh,storage_discharge_loss_mwh,storage_standing_loss_mwh,storage_auxiliary_electricity_mwh,initial_storage_mwh,final_storage_mwh,maximum_storage_mwh,intervals_with_unmet_demand,intervals_with_residual_rejection,maximum_absolute_thermal_balance_error_mwh,annual_thermal_balance_error_mwh
zero_demand_rejection_baseline,A,zero_demand,none,zero_demand_counterfactual,measured_valid_intervals_missing_intervals_unavailable,False,1.0,3.08,3.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,49869,2691,49869,2691,52560,75573.59055081538,0.0,75573.59055081538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49737,0.0,0.0
direct_lower_demand_bound,C,reported_lower_bound,none,constant_reported_bound_not_measured_trace,measured_valid_intervals_missing_intervals_unavailable,False,1.0,3.08,3.0,0.16666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,49869,2691,49869,2691,52560,75573.59055081538,5590.872161160455,69982.71838965492,8278.791469410677,2687.9193082502193,8759.999999999998,8278.791469410677,0.0,8278.791469410677,481.20853058932374,0.9450675193391186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2942,49618,1.3877787807814457e-17,1.0408340855860843e-17
direct_upper_demand_bound,C,reported_upper_bound,none,constant_reported_bound_not_measured_trace,measured_valid_intervals_missing_intervals_unavailable,False,1.0,3.08,3.0,0.16666666666666666,2.0,0.0,0.0,0.0,1.0,0.0,49869,2691,49869,2691,52560,75573.59055081538,11170.549102342104,64403.04144847328,16541.00540154504,5370.456299202935,17519.999999999996,16541.00540154504,0.0,16541.00540154504,978.994598454958,0.9441213128735756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3073,49487,2.7755575615628914e-17,-1.734723475976807e-17
minimum_formula_storage_lower_demand,B,reported_lower_bound,minimum_formula,constant_reported_bound_not_measured_trace,measured_valid_intervals_missing_intervals_unavailable,False,1.0,3.08,3.0,0.16666666666666666,1.0,52.2,29.0,29.0,0.98,0.0015,49869,2691,49869,2691,52560,75573.59055081538,5968.760251950647,69604.83029886473,8838.35652692692,2869.596274976275,8759.999999999998,8278.791469410677,468.96696077095686,8747.758430181631,12.241569818366834,0.9986025605230175,559.5650575162479,5.623912157556734,4.761207962741966,28.012976624998956,1.8758678430838276,0.0,52.2,52.2,74,49587,1.4210854715202004e-14,-4.71733763163229e-13
minimum_formula_storage_upper_demand,B,reported_upper_bound,minimum_formula,constant_reported_bound_not_measured_trace,measured_valid_intervals_missing_intervals_unavailable,False,1.0,3.08,3.0,0.16666666666666666,2.0,52.2,29.0,29.0,0.98,0.0015,49869,2691,49869,2691,52560,75573.59055081538,11670.201855383859,63903.38869543152,17280.875824318417,5610.673968934549,17519.999999999996,16541.00540154504,647.4708055470342,17188.476207092073,331.52379290792373,0.981077409080598,739.8704227733706,7.436072373999122,6.573476199571986,26.190068652767152,2.589883222188137,0.0,52.2,52.2,1003,49449,1.4210854715202004e-14,-3.228146638889484e-10
generic_storage_lower_demand,B,reported_lower_bound,generic_reference,constant_reported_bound_not_measured_trace,measured_valid_intervals_missing_intervals_unavailable,False,1.0,3.08,3.0,0.16666666666666666,1.0,290.0,29.0,29.0,0.98,0.0015,49869,2691,49869,2691,52560,75573.59055081538,6227.377360591139,69346.21319022424,9221.30878395227,2993.9314233611253,8759.999999999998,8278.791469410677,481.20853058932374,8759.999999999998,5.551115123125783e-17,1.0,942.5173145415912,9.472776244260517,4.885491045711932,156.95051666223674,1.9248341223572951,0.0,290.0,290.0,0,49585,1.1368683772161603e-13,2.192279691115573e-11
generic_storage_upper_demand,B,reported_upper_bound,generic_reference,constant_reported_bound_not_measured_trace,measured_valid_intervals_missing_intervals_unavailable,False,1.0,3.08,3.0,0.16666666666666666,2.0,290.0,29.0,29.0,0.98,0.0015,49869,2691,49869,2691,52560,75573.59055081538,12072.245966207396,63501.344584607985,17876.210373037873,5803.964406830479,17519.999999999996,16541.00540154504,879.0663608203648,17420.071762365405,99.92823763459309,0.9942963334683452,1335.2049714928273,13.419486029630557,8.924760392578442,143.79436425021024,3.5162654432814597,0.0,290.0,290.0,304,49448,1.1368683772161603e-13,2.449929203951484e-09
