record_id,entity,statistic,value_mw_th,source_key,source_location,extraction_method,limitation
case_a_average,5600-5700-5800 complex,average,0.76,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
case_a_maximum,5600-5700-5800 complex,maximum,2.09,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
building_5100_average,Building 5100,average,0.09,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
building_5100_maximum,Building 5100,maximum,0.24,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
building_5200_average,Building 5200,average,0.09,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
building_5200_maximum,Building 5200,maximum,0.25,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
building_5300_average,Building 5300,average,0.37,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
building_5300_maximum,Building 5300,maximum,1.03,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Manual transcription of the one-year recorded space-heating summary,Summary statistic only; no timestamped demand profile.
case_b_selected_average,Case B selected buildings,average,1.31,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Sum of the transcribed Case A and Buildings 5100-5300 average values,Summary statistic only; no timestamped demand profile.
case_b_selected_maximum,Case B selected buildings,maximum,3.61,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot,Sum of the transcribed Case A and Buildings 5100-5300 maximum values,Summary statistic only; no timestamped demand profile.
