scenario,source_time,source_latitude,source_longitude,sink_latitude,sink_longitude,sink_is_ocean,sink_is_cryosphere,distance_km,source_marginal_benefit,sink_marginal_burden,net_benefit
unrestricted_global,2023-06-05T00:00:00,23.809200286865234,90.0,-35.23749923706055,219.375,True,False,15010.116995221882,777.7644653320312,0.0,777.7644653320312
distance_only,2023-06-05T00:00:00,23.809200286865234,90.0,-12.380800247192383,116.25,True,False,4933.105678080074,777.7644653320312,0.0,777.7644653320312
plus_cryosphere_exclusion,2023-06-05T00:00:00,23.809200286865234,90.0,-12.380800247192383,116.25,True,False,4933.105678080074,777.7644653320312,0.0,777.7644653320312
plus_ocean_exclusion,2023-06-05T00:00:00,23.809200286865234,90.0,44.76110076904297,135.0,False,False,4665.747235010652,777.7644653320312,0.0,777.7644653320312
plus_ocean_and_cryosphere_exclusion,2023-06-05T00:00:00,23.809200286865234,90.0,44.76110076904297,135.0,False,False,4665.747235010652,777.7644653320312,0.0,777.7644653320312
